,ID,Sentence,disease
1911,189,Rhabdomyosarcoma (RMS),"{'R ##hab ##dom ##yo ##sar ##com ##a, R ##MS'}"
1912,190,Patients with an EGFR deletion or mutation known (from tumour biopsy or plasma) to be associated with EGFR TKI sensitivity,{'t'}
1913,192,"Age 0-17 years old, male or female;",{''}
1914,195,Written informed consent obtained,{''}
1915,196,Male and female subjects over 40 years old,{''}
1916,197,Documentation of depression and/or provider report of depression,{''}
1917,198,Male and female subjects must be willing to comply with contraception requirements as well as restrictions regarding egg and sperm donation,{''}
1918,199,"If taking hydroxyurea, the hydroxyurea dose must be stable for at least 90 days before starting study drug. Discontinuation of hydroxyurea requires a 90-day washout prior to informed assent/consent;",{''}
1919,200,Affiliated or beneficiary of a social security scheme,{''}
1920,201,Adults aged 18 years old and above,{''}
1921,202,Ages 18 and older,{''}
1922,203,Haven't received any prior systemic chemotherapy for Stage IV NSCLC (unless received as neoadjuvant or adjuvant therapy for early-stage NSCLC disease and completed therapy at least 6 months prior to enrollment),"{'Stage IV N ##SC ##LC, N ##SC ##LC'}"
1923,204,Exclusion Criteria,{''}
1924,205,"Must have been a non-smoker or a light smoker who smoked no more than 10 cigarettes (or equivalent) per day, at Screening. Smokers must have agreed to smoke no more than 5 cigarettes (or equivalent) per day from check-in until after Study Completion evaluations.",{''}
1925,206,Not a woman of childbearing potential (WOCBP),{''}
1926,210,The patient has a mobile phone with internet access.,{''}
1927,213,Agree and sign the informed consent form,{''}
1928,215,Having an active email address,{''}
1929,218,Absence of endocrine disorders,{'end ##oc ##rine disorders'}
1930,220,"Current CD4+ T cell counts \> 450 cells/mcL, CD4+ T cell % ≥ 15%, and CD4+ T cell count nadir of ≥ 200 cells/mcL.",{''}
1931,221,"Extensive disease (American Joint Committee on Cancer Stage (8th edition) IV SCLC \[T any, N any, M1 a/b\]), or",{'SC'}
1932,223,without a uterus and/or both ovaries; or,{''}
1933,225,"Patients who received a first generation anti-androgen (for example, bicalutamide, flutamide, nilutamide) must have at least a 4-week washout prior to randomization AND must show continuing disease (PSA) progression (an increase in PSA) after washout",{''}
1934,226,"Participant has regular bowel habits (i.e., at least 1 bowel movement per day).",{''}
1935,229,At least one measurable lesion.,{''}
1936,232,Participants must have laboratory parameters in the required range,{''}
1937,233,Insulin resistant based on screening oral glucose tolerance testing.,{''}
1938,234,Patients with recurrent or metastatic head and neck squamous cell carcinoma (non-nasopharyngeal carcinoma) confirmed by histopathology and/or cytology,"{'head and neck sq ##ua ##mous cell car ##cin ##oma, non - na ##so ##pha ##ryn ##ge ##al car ##cin ##oma'}"
1939,237,"Improvement of signs or symptoms related to MG during treatment with an oral AChEI, as determined by the treating physician",{'MG'}
1940,239,No scheduled transfer or release for at least three months,{''}
1941,242,"fluency in Dutch or French,",{''}
1942,249,"Demonstration of lesional SSTR2 expression using an FDA-approved somatostatin receptor PET imaging agent, i.e.\[68Ga\]DOTATATE, \[64Cu\]DOTATATE, or \[68Ga\]DOTATOC, (SSTR2 positivity defined as uptake \> background liver) obtained and interpreted in accordance with product labeling and appropriate clinical use criteria within 12 months of enrollment.",{''}
1943,250,"No other systemic diseases,",{''}
1944,252,"Scheduled for complex aortic surgery, liver resection or pancreatic resection",{''}
1945,256,"Prostate cancer progression documented by prostate-specific antigen (PSA) according to the Prostate Cancer Clinical Trials Working Group (PCWG2) or radiographic progression of soft tissue according to modified Response Evaluation Criteria in Solid Tumors, version 1.1 (RECIST) modified based on PCWG2, or radiographic progression of bone according to PCWG2","{'Pro, ##state cancer, Pro, ##state Cancer, Solid Tu ##mor'}"
1946,258,"Stage II, III, or IV by Ann Arbor staging system.",{''}
1947,259,Tissue confirmation of relapse is recommended but not required,{''}
1948,261,"Women who currently have vaginal intercourse or other sexual activity (masturbation, etc.) at least once a month (with or without a partner), or who had intercourse or other sexual activity at least once a month in the past, but later decreased sexual activity due to excessive pain or vaginal dryness. Participants must be willing to engage in vaginal intercourse or other sexual activity (masturbation, etc.) at least 1 time between Days 49-56 of the clinical study.","{'excessive, pain, v, ##agi ##nal dry ##ness'}"
1949,264,Renal Serum creatinine ≤2.5x upper limit of normal (ULN),{''}
1950,265,"If node-negative or if node status unknown (because it was not assessed), tumor must be \>5 mm of any hormone receptor subtype (document ER/PR status if some ER/PR staining is present, ER and PR negative are defined as being positive in \<10% cells \[per local pathology read\]).",{''}
1951,267,No active substance use (e.g. heavy etoh or opiates),{''}
1952,270,"No history of anticoagulant use that contraindicates block application according to guidelines,",{''}
1953,271,Subjects must restrict food with high copper content for at least 6 months prior to screening and continue this restriction during the entire duration of study participation.,{''}
1954,272,Acute lymphoblastic leukemia (ALL)/lymphoma,"{'A, ##cute l ##ymph ##ob ##lastic le ##uke ##mia, AL ##L, l ##ymph ##oma'}"
1955,276,"can read, understand and respond in French or English.",{''}
1956,277,Primary tumor or metastasis tissue (10 x10 μm blank slides FFPE tumor material) sent to NKI-AVL for BRCA-like testing,{'tumor'}
1957,278,"be not intubated,",{''}
1958,281,Patient's tumor must harbor an activating BRAF mutation (listed in Table 4 or approved by the study Principal Investigator) or a fusion involving the kinase domain of BRAF,{'tumor'}
1959,288,Controlled attenuation parameter (CAP) \> 285 dB/m within 24 months before enrollment;,{''}
1960,290,planned transplant with minimal or no T-cell depletion,{''}
1961,291,Medical oncology consultation to confirm that patient is an appropriate candidate for concurrent chemotherapy and surgical oncology consultation for confirmation of resection status.,{''}
1962,293,≥ 6 tender/painful joints (using 68-joint assessment),{''}
1963,296,Serum ALT and AST ≤ ULN at screening visit.,{''}
1964,298,Platelet count on Procedure Day,{''}
1965,299,can speak/read/write in English,{''}
1966,300,Experienced at least an average of 1 HAE attack per month during the Run-in Period,{'H ##A ##E'}
1967,301,Reside in a community-based setting,{''}
1968,304,≥ 6 swollen joints;,{''}
1969,307,≥ 1 measurable or nonmeasurable lesion as assessed by RECIST v1.1. for Phase 1a Part A; ≥ 1 measurable lesion per RECIST v1.1. for Phase 1a Part B and Phase 1b.,{''}
1970,308,"Participants who received the first trial vaccination at least 5 months earlier and are currently enrolled in the Main Part (ie, not have withdrawn or discontinued early).",{''}
1971,309,"Expansion cohort A only estrogen receptor (ER) positive (\> 1%), human epidermal growth factor 2 (HER2) negative, WT TP53 metastatic or inoperable locally advanced or locally recurrent breast cancer regardless of progresterone receptor (PR) status, HER2 status will be defined according to the ASCO/CAP 2018 recommendationa (Patients can be HER2 0+ or 1+ by immunohistochemistry (IHC), 2+ by IHC and fluorescent in situ hybridization (FISH) non-amplified to be considered HER2 negative). Standard treatment with therapies known to confer a survival benefit does not exist, is no longer effective or tolerated, or the patient declines standard treatment. For the dose expansion cohort only, breast cancer patients with ER+, HER2- status must have received prior endocrine therapy and CDK4/6 inhibitors","{'breast cancer, breast cancer'}"
1972,310,Complete medical history was available.,{''}
1973,311,Weight Stable (±3 lbs) over the preceding 3 months,{''}
1974,313,P53 mutation and/or,{''}
1975,315,Ability to understand and provide signed informed consent,{''}
1976,318,urinary tract infection/pyelonephritis,"{'u, ##rina ##ry tract infection, p ##ye ##lone ##ph ##rit ##is'}"
1977,321,Intention to deliver at a hospital or birthing facility where study procedures can be performed,{''}
1978,322,Patient has medical insurance that covers this standard of care procedure and all other anticipated and unanticipated procedure related care.,{''}
1979,323,Initiated olaparib + abiraterone after site activation,{''}
1980,324,Measurable disease as per Response Evaluation Criterion in Solid Tumors \[RECIST\] or bone-only disease,{'Solid Tu ##mor only'}
1981,325,Fasting plasma glucose ≤ 7.2 mmol/l or glycosylated hemoglobin (HbA1c) ≤ 8% in the last 6 months.,{''}
1982,326,"Relapsed patients must have received at least 1 line of treatment, including Dara and bortezomib. Patients must have received at least two cycles of therapy. However, patients who have received high-dose therapy with melphalan as their only therapy are also eligible.",{''}
1983,327,Tx or T1-4 and,{''}
1984,328,-80 years.,{''}
1985,331,Measurable disease as per IMWG response criteria,{''}
1986,332,At least 1 measurable tumor (It is acceptable to allow patients with no measurable lesion but evaluable tumor lesion in the first 2 dose levels in Phase I and at least 1 measurable tumor lesion must be present in Phase IIa) according to RECIST v1.1,"{'tumor, tumor, tumor'}"
1987,333,) willing and able to provide tumor lesions or excisional biopsy tissue. 7) a performance status of 0 or 1 on the Eastern Cooperative Oncology Group (ECOG) Performance Scale. Demonstrate adequate organ function.,{'tumor'}
1988,335,Current PTSD severity of 33+ on the PCL-5,{'PT ##SD'}
1989,337,Subjects with mild or moderate illness 11 ≤ total score of MMSE ≤ 26;,{''}
1990,338,abdominal wall and/or lower back pain despite physical therapy / structured physical exercise for at least 6 months,{'abdominal wall and / or lower back pain'}
1991,340,"CD10-negative GCB DLBCL, NOS (i.e., CD10-/BCL6+/MUM1- DLBCL)","{'G, ##C ##B, DL'}"
1992,343,Target lesion must be amenable to undergo surgical biopsy and LITT treatment as determined by the treating neurosurgeon.,{''}
1993,344,"Must have at least 1 additional radiologically measurable lesion of the primary cancer type, evaluable per RECIST 1.1, that will remain untouched by surgical harvest procedure for the assessment of tumor size throughout the study.","{'cancer, tumor'}"
1994,345,"It is recommended that participants are up to date on all age-appropriate vaccinations prior to screening as per routine local medical guidelines. For study participants who received locally-approved (and including emergency use-authorized) coronavirus disease 2019 (COVID-19) vaccines recently prior to study entry, applicable local vaccine labelling, guidelines, and standards-of-care for participants receiving immune-targeted therapy will be followed when determining an appropriate interval between vaccination and study enrollment","{'co, ##rona ##virus disease'}"
1995,346,Following treatment per CCG3891,{''}
1996,347,Eastern Cooperative Oncology Group (ECOG) performance status 0 -1 (Karnofsky \>= 70%),{''}
1997,349,"Availability of a representative, formalin-fixed, paraffin-embedded tumor specimen that enabled the diagnosis of breast cancer with viable tumor cells in a tissue block or unstained serial slides accompanied bay an associated pathology report;","{'tumor, breast cancer, tumor'}"
1998,350,"For current smokers (not eligible for Part A) Participants who report that they are currently smoking tobacco (participant smoked at least 5 cigarettes per day on average during the past 7 days) at Screening (Visit 1) and at Baseline, and who are not currently participating in, or planning to initiate, a smoking cessation intervention at Screening (Visit 1) or during the screening period.",{''}
1999,352,"Patients with uncontrolled major or life-threatening bleeding, requiring urgent reversal of the antiplatelet effects of ticagrelor. It is expected that enrolled patients would have characteristics similar to those described below",{''}
2000,353,"Patient has mandatory health insurance through Health Insurance Institute of Slovenia,",{''}
2001,354,c. Steroid-Dependent Disease,"{'St, ##ero ##id - De ##pen ##dent Disease'}"
2002,356,Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 2,{''}
2003,358,Measurable disease as per RECIST v1.1 criteria and documented by CT/MRI (Appendix 1 - RECIST Response Criteria). NOTE Lesions to be used as measurable disease for the purpose of response assessment must either,{''}
2004,359,Echocardiogram (ECHO) that is normal or with findings that are considered trivial and clinically insignificant such as 'Clinically insignificant/trivial mitral regurgitation,{'mit ##ral re ##gu ##rg ##itation'}
2005,361,"Confirmed by review of the EMR and subsequently recorded in Survivor Health History. In cases where the EMR isn't clear, their OHSU provider will be contacted for confirmation/ For non-OHSU patients, we'll initially collect their cancer health history by a self-report questionnaire and confirm when we receive the survivor's outside medical record (through a signed Release of Information)",{'cancer'}
2006,362,"CCNE1 amplification, AND",{''}
2007,364,Radiology (CT/MRI chest/abdomen/pelvis) within 42 days of randomization,{''}
2008,367,Willingness to participate in the study and cooperate with the study procedures as evidenced by signing the informed consent document.,{''}
2009,370,Term pregnant women (gestational age ≥ 36 weeks),{''}
2010,371,"For men and women who are not postmenopausal (i.e., \>= 12 months of non-therapy-induced amenorrhea, confirmed by follicle stimulating hormone \[FSH\], if not on hormone replacement) or surgically sterile (vasectomy in males or absence of ovaries and/or uterus in females), agreement to remain abstinent or use highly effective or combined contraceptive methods that result in a failure rate of \< 1% per year during the treatment period and at least through week 12 after last dose","{'am, ##eno ##rr ##hea, absence of o ##ies and / or u ##us'}"
2011,374,Patient available at the proposed slots over 4 weeks,{''}
2012,375,Age ≥18 years,{''}
2013,376,"Participants should express the desire to reduce or stop alcohol consumption, report 28 or more standard drinks (SD) per week for males or 21 for females over four weeks during the 90 days preceding study enrollment.",{''}
2014,380,"Patients presenting a clinical severity score of Grade 1 with signs of struggle, as well as those with Grade 2 and Grade 3. A clinical severity score will be used as follows Grade 1 Minimal polypnoea with respiratory rate (RR) between 20 and 25 ; Grade 2 Moderate polypnoea with respiratory rate (RR) between 25 and 35; Grade 3 Major polypnoea with respiratory rate (RR) between 35 to 50.","{'p ##oly ##p ##no ##ea, p ##oly ##p ##no ##ea, p, ##oly ##p ##no ##ea'}"
2015,381,Confirmed to have at least one measurable lesion according to RECIST 1.1 (solid tumor) or Lugano 2014 (lymphoma) criteria；,"{'solid tumor, l, ##ymph ##oma'}"
2016,384,Presence of tibio-malleolar edema at least grade II/IV at the time of inclusion.,{'t ##ibi ##o - mall ##eo ##lar ed ##ema'}
2017,385,"Cohort 1 and Cohort 2 HER2-positive defined as IHC 3+, or IHC 2+ and ISH or FISH positive. ISH positivity is defined as a HER2 gene copy number to CEP17 copy number ratio ≥2.0; if the ratio is \<2.0 but the HER2 gene copy number \>6, it is also considered ISH positive.",{''}
2018,388,"Patients receiving antidepressant treatment of the SSRI (Selective Serotonin Reuptake Inhibitors) or SNRI (Serotonin Norepinephrine Reuptake Inhibitors) classes may maintain this treatment for the duration of the trial, without modification • Patient with a score \> 10 on the QIDS scale.",{''}
2019,389,Birth weight ≤2000 grams,{''}
2020,391,History of pain for at least the last 3 months,{''}
2021,394,Hematocrit levels within normal limits,{''}
2022,395,Undergone at least 2 trials of medical treatments in the past,{''}
2023,396,Interested in learning skills to quit smoking,{''}
2024,399,Use of birth control (as appropriate),{''}
2025,402,At minimum 5mm of native bone below the maxillary sinus inferior border,{''}
2026,403,The following tumor types will be recruited to the monotherapy expansion cohorts,{'tumor'}
2027,405,"Participant with type 2 diabetes (T2D) as defined by the American Diabetes Association (ADA 2021), with glycated hemoglobin (HbA1c) at screening \<11%.","{'type 2 diabetes, T ##2 ##D, Di'}"
2028,406,The intracranial arterial stenosis lesion to be treated is a single lesion;,{'in ##tra ##c ##rani ##al art ##erial s ##ten ##osis les ##ion'}
2029,408,"\*RAS analysis should include at least KRAS exons 2, 3 and 4 (codons 12, 13, 59, 61, 117 and 146) and NRAS exons 2, 3 and 4 (codons 12, 13, 59, 61 and 117)",{''}
2030,410,Weight,{''}
2031,414,Female participant must agree not to breastfeed starting at screening and throughout the study period and for 28 days after IP administration.,{''}
2032,415,Ability to comply with the entire study procedure,{''}
2033,416,"Self-reported ""very well"" comprehension of written and verbal English language",{''}
2034,417,Sign informed consent.,{''}
2035,419,"If a blood donation has been made, a delay of 8 weeks must be respected after the last donation",{''}
2036,420,"Karnofsky performance status ≥50. For infants and children less than 12 years of age, the Lansky play scale ≥50% will be used",{''}
2037,421,"Is a first- or second-degree blood relative of an individual with a diagnosis of pancreatic ductal adenocarcinoma (PDAC) and this PDAC patient has a germline mutation in APC, ATM, BRCA1, BRCA2, CDKN2A, EPCAM, MLH1, MSH2, MSH6, PALB2, PMS2, STK11, or TP53.","{'pan ##cre ##atic duct ##al ad ##eno ##car ##cin ##oma, PD ##AC, PD ##AC'}"
2038,423,Able to provide written informed consent in English prior to any study-related procedure,{''}
2039,425,without a uterus and/or both ovaries; or,{''}
2040,426,Subjects who agree to use only the study products for acne treatment. No other medicated cleansers or moisturizers or acne treatments of any kind are allowed.,"{'a, ##c ##ne, a, ##c ##ne'}"
2041,427,Patients must be selected for an endocrine targeted therapy regimen for treatment of their breast cancer by the referring oncologist. Selected treatments may be part of experimental treatment protocols for which the patient would be separately consented.,{'breast cancer'}
2042,431,"Patients prior to initiation of neoadjuvant, adjuvant or palliative chemotherapy\*\* in combination with HER2-targeted therapy (including tyrosine kinase inhibitors \[TKI\]) or an antibody-drug conjugate therapy.",{''}
2043,432,The patient has measurable disease as defined by the presence of at least one measurable lesion per RECIST 1.1;,{''}
2044,434,Patients with metastatic/disseminated or multifocal disease or gliomatosis cerebri are eligible.,"{'meta di ##minated, multi ##fo ##cal disease, g, ##lio ##mat ##osis c ##ere ##bri'}"
2045,435,Patients who can read and write (or primary caregiver),{''}
2046,440,Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1,{''}
2047,442,Unresectable biliary adenocarcinoma (gallbladder or biliary tree \[intrahepatic or extrahepatic\] cholangiocarcinoma),"{'bi ##lia ##ry ad ##eno ##car ##cin ##oma ##he ##he, ch, ##ola ##ng ##io ##car ##cin ##oma'}"
2048,443,The onset of the index MAS episode occurred between 01 January 2012 and 30 September 2022.,{'MA ##S'}
2049,445,"Received standard-of-care therapies, (except for Part 1C, where participants with prior docetaxel use for the advanced/metastatic setting will be excluded), including an available programmed death (ligand)-1 inhibitor known to be effective in the tumor type for which they are being evaluated",{'tumor'}
2050,449,A list of targeted non-influenza respiratory viruses is maintained on the INSIGHT website.,{''}
2051,453,Consent Willingness to provide written consent at the beginning of the Bingo session to participate in the research study.,{''}
2052,457,Broad-spectrum penicillins,{''}
2053,458,Participants with CRC who have one of these criteria,{'CR ##C'}
2054,466,"Female patients are eligible to participate if not pregnant, or not breastfeeding and must refrain from donating or storing eggs. For females of reproductive potential use of highly effective contraception (e.g., method of birth control throughout the study period and for 4 weeks after study completion defined as a method which results in a failure rate of less than 1% per year) such as",{''}
2055,468,"absolute neutrophil count \>1,500/mcL",{''}
2056,470,"ECOG performance status 0, 1, or 2",{''}
2057,475,The type-III BA diagnosis is based on cholangiography or operation;,{'type - III BA'}
2058,476,Age ≥ 18 years,{''}
2059,478,"Participant should be willing to comply with the study procedure and schedule, including the follow up visit, and will refrain from using any other aesthetic treatment methods (laser devices, topical prescriptions, or other known hair growth treatments) in the treatment area during the entire study period.",{''}
2060,479,Individuals must have previously been admitted to hospital due to HF decompensation requiring intravenous diuretics.,{'H ##F de ##com ##pen ##sation'}
2061,480,ECOG performance status of 0/1,{''}
2062,482,Cohort 2 MSS CRC and ovarian cancer,"{'CR ##C, o ##var ##ian cancer'}"
2063,483,At least 22 years of age,{''}
2064,484,Willing to adhere to 12 office visits for PTNS over 3 months if randomized to that arm,{''}
2065,486,Being literate in Turkish.,{''}
2066,489,Tanner stage \>/= 2;,{''}
2067,490,AND/OR the presence of at least one granuloma on the biopsy,{''}
2068,491,Birth weight greater than 2500 grams,{''}
2069,498,"able to identify one ""Safe Support Person"" (SSP) in the community who can be trusted to support recovery and is willing to be contacted about participation",{''}
2070,499,Signed informed consent form.,{''}
2071,500,Has a baseline rectal bleeding subscore of ≥1 and baseline a stool frequency score of ≥1 as determined by the Mayo score component assessment.,"{'re, ##ct ##al bleeding'}"
2072,503,self-identify as Black or African American.,{''}
2073,504,Able to provide consent,{''}
2074,506,"Correct tooth shape, with sufficient height of the clinical crowns",{''}
2075,510,Prostate cancer post prostatectomy,"{'Pro, ##state cancer, pro'}"
2076,512,Ability to understand instructions regarding the use of the technology and execution of the exercise program.,{''}
2077,513,Anisometropia ≤ 1.50D SERE.,{'An ##is ##ome ##tro ##pia'}
2078,515,"Must be able to understand the study, and having understood, provide written informed consent in English;",{''}
2079,518,Signed informed consent and volunteered to participate in this study.,{''}
2080,519,Reports chronic pain,{''}
2081,523,Haemoglobin ≥ 9 g/dL with no blood transfusion in the past 28 days,{''}
2082,525,"Hyperlipidaemia LDL cholesterol 120 mg/dL or more, or treatment with an antihyperlipidemic drug","{'H, ##yper ##lip ##idae ##mia, ##hy ##ide'}"
2083,526,Willing and able to use their personal smartphone for the ecological momentary assessment app to submit ratings using personal data plan,{''}
2084,528,Patients who have been receiving stable doses of VEN for at least 5 days prior to initiation of PIT add-on therapy.,{''}
2085,530,Prior therapy restrictions,{''}
2086,532,Expected survival ≥ 6 months in the opinion of treatment team,{''}
2087,533,"Patients previously treated with immunotherapy, targeted therapy, or no therapy will be eligible. Patients receiving cytotoxic agents will be evaluated by the PI or his designee as to suitable eligibility. (Turnstile I)",{''}
2088,536,Child does not have significant congenital anomaly (blind or deaf) that would affect them from completing study assessments,"{'con ##gen ##ital an ##oma ##ly, blind or deaf'}"
2089,537,"Healthy participants without clinical skin comorbidities (psoriasis, vitiligo, rosacea and dermatoses)","{'skin com, ps ##oria ##sis, v ##iti ##li ##go, r ##osa ##cea, der ##mat ##ose ##s'}"
2090,538,"If subject is on a non-biologic disease modifying anti-rheumatic drug (DMARDs) therapy, the dose must be stable \> 28 days prior to Screening",{''}
2091,539,Diagnosed with Hidradenitis Suppurativa,{'Hi ##dra ##den ##itis'}
2092,540,"The mother and baby are healthy,",{''}
2093,541,Exclusion Criteria,{''}
2094,542,Not planning to enroll in an experimental clinical trial for the treatment of PCDH15 for the duration of this study,{''}
2095,545,Stable self-reported body weight for 3 months prior to randomization (+/- 5% body weight change).,{''}
2096,546,kg/m2 \&amp;lt;BMI \&amp;lt;30 kg/m2;,{''}
2097,547,Must agree not to try to become pregnant during the study until 5 half-lives after the last dose of any study drug.,{''}
2098,548,Capable of giving signed informed consent.,{''}
2099,549,No previous systemic treatment;,{''}
2100,550,Eastern Cooperative Oncology Group Performance status of 0 or 1.,{''}
2101,556,There must be no evidence of metastatic disease,{''}
2102,557,Symptoms (including pain) associated with OA of the index shoulder for ≥3 months prior to Screening Visit (subject self-report is acceptable).,{'O ##A of the index shoulder'}
2103,559,Stratum 2 Patients with measurable ACP who have undergone surgery but have NOT previously undergone irradiation (but may have received prior systemic or intracystic therapy). Progressive disease is allowed but not required.,{'AC ##P'}
2104,561,"Female subjects of childbearing potential must be surgically sterile, or postmenopausal, or agree use an acceptable method of birth control from the time of ICF or 10 days prior to check-in and until 30 days after Day 21. Female subjects of childbearing potential must have a negative serum pregnancy test at screening and a negative urine pregnancy test at check-in.",{''}
2105,564,"Male subject and female spouse/partners who are of childbearing potential must be using 1 form of highly effective birth control starting at Screening and throughout the study period, and for 90 days after the final study drug administration.",{''}
2106,566,"Age \>18 months, regardless of biologic features OR",{''}
2107,569,"Presence of radiographically measurable disease (defined as the presence one or more ≥ 1.5 cm lesions, as measured in the longest dimension by PET/CT) within 4 weeks of study registration.",{''}
2108,1,Life expectancy of greater than three months,{''}
2109,2,Written informed consent.,{''}
2110,4,"Has not received nor plans to receive neoadjuvant (preoperative) radiation therapy, androgen deprivation therapy (ADT), or any other anticancer therapy.",{''}
2111,6,"Have discontinued all previous therapies for cancer (including chemotherapy, radiotherapy, immunotherapy, and investigational therapy) for at least 21 days for myelosuppressive agents or 14 days for nonmyelosuppressive agents prior to receiving study drug.",{'cancer'}
2112,7,"Those who have not received body-mind therapy (yoga, reiki, massage, meditation) in the last six months",{''}
2113,8,Ability to take oral medication and willingness to adhere to the study medication regimen.,{''}
2114,10,Patients must not have had a screening mammogram within the last 11 months prior to date of randomization,{''}
2115,14,Have estimated life expectancy of at least 3 months,{''}
2116,15,Any burn-related injuries resulting in at least one night of hospitalization.,{'burn'}
2117,18,Availability of a radiography of the selected knee not older than 6 months.,{''}
2118,19,Parent/Guardian must sign the Release of Medical Records associated with the outcomes of interest identified from claims data.,{''}
2119,20,≥ 2 corneal quadrants covered by pathological corneal neovascularization,{''}
2120,23,Life expectancy \>12 weeks.,{''}
2121,24,"Have discontinued use of contact lenses for at least 2 weeks (for hard or toric lenses) or 3 days (for soft contact lenses) prior to the pre-operative examination, and through the day of surgery and must be willing to refrain from use of contact lenses throughout the clinical investigation.",{''}
2122,26,Recurrent arterial or venous thrombosis despite anticoagulant therapy,{'art ##erial or ve ##nous th ##rom ##bos ##is'}
2123,27,Primary care practice criteria are that diabetes is managed by multiple daily insulin injections (insulin-pump naïve).,{'diabetes'}
2124,29,Willing to partner with his or her pain physician on a subject-centered pain management plan during the study.,{''}
2125,34,"Women of childbearing potential must be non-pregnant (as confirmed by a urine pregnancy test at Screening and Baseline) and non-lactating, and will abstain from intercourse (when it is in line with their preferred and usual lifestyle) or use 2 medically acceptable, highly effective forms of contraception for the duration of the study, and at least 30 days after discontinuing study drug.",{''}
2126,37,Having obtained his/her informed consent,{''}
2127,38,receiving therapeutic dose anticoagulation with low molecular weight heparins (LMWHs) and/or direct oral anticoagulants (DOACs) according to the respective product labels,{''}
2128,43,Sufficiently fluent in English to take part in a consultation and subsequent data collection procedures.,{''}
2129,44,English speaking,{''}
2130,46,Provision of signed written ICF indicating that they understand the purpose of the study and procedures required for participation in the study.,{''}
2131,47,Must agree not to breastfeed from the time of signed ICF until 5 half-lives after the last dose of any study drug.,{''}
2132,49,Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1.,{''}
2133,56,major depressive disorder,{'major de ##pressive disorder'}
2134,58,all tumors must exhibit ≥75% of tumor cells with FRα membrane staining and ≥ 2+ intensity by immunohistochemistry (IHC) using the Ventana FOLR1 (FOLR1 2.1) CDx assay.,"{'tumors, tumor'}"
2135,60,Patients must provide a documented tumor tissue specimen of the primary or metastatic tumor within 3 years for PD-L1 testing and other testing;,"{'tumor, tumor'}"
2136,63,T1 high-grade disease at the first evaluation following an induction BCG course (at least 5 or 6 doses),{''}
2137,64,Employed as staff or trainee at a participating program,{''}
2138,65,Socket-Comfort Score 6 or above to ensure adequate socket fit,{''}
2139,66,"Male subjects must not donate sperm starting at informed consent and throughout the clinical study period, and for 90 days after study drug administration.",{''}
2140,68,Any unhealthy weight control behaviors,{''}
2141,73,"Previous treatment with at least 1 novel androgen axis drug (NAAD) (e.g., enzalutamide, apalutamide, darolutamide and/or abiraterone).",{''}
2142,74,"B-ALL patients without DS must have an initial white blood cell count \< 50,000/uL (performed within 7 days prior to enrollment).","{'B - AL ##L, DS'}"
2143,75,Carrier of a pathogenic progranulin gene (GRN) mutation.,{''}
2144,76,Willing to participate in vitamin B1 therapy and commit to regular follow-up appointments.,{''}
2145,77,"Have a life expectancy of more than 180 days, per physician discretion",{''}
2146,85,Overjet ≥ 8mm.,{''}
2147,86,)Substantially normal bone marrow reserve function and normal liver and renal function (laboratory tests need to be fulfilled before receiving QH104 Cell Injection for the first time)White blood cell count (WBC) ≥ 3 x 109/L;Lymphocyte count (LY) ≥ 0.8 x 109/L;Hemoglobin (Hb) ≥ 90g/L;Platelet (PLT) ≥80×109/L;Albumin transaminase (ALT) \& albumin transaminase (AST) \<1.5×ULN;Serum creatinine (Cr) \<1.5 x ULN;Total bilirubin \< 1.5 x ULN;PT \& PTT ≤ 1.25 x ULN.,{''}
2148,88,Study participant is considered for additional treatment such as intravenous immunoglobulin g (IVIg) or plasma exchange (PEX) by the Investigator,{''}
2149,93,Has a moderate depression severity score or higher (Patient Health Questionnaire-9 score \>9; PHQ),{''}
2150,94,Parent/guardian's able to provide consent for minors,{''}
2151,96,Uses contraception unless confirmed to be azoospermic,{''}
2152,97,Age ≥ 21 years,{''}
2153,98,"For a patient to maintain eligibility for AHEP0731 when emergent treatment is given, the following must occur",{''}
2154,100,AD involvement of ≥10% body surface area at screening and baseline.,{'AD'}
2155,104,"Appropriately sized and accessible target coronary arteries, with a minimum diameter of 2 mm and adequate vascular bed (without significant distal stenosis), as assessed by pre-operative cardiac angiography and verified by diameter gauging intraoperatively.",{''}
2156,105,Eastern Cooperative Oncology Group Performance Status of 0 or 1,{''}
2157,107,Remote participant must have Wi-Fi access,{''}
2158,109,"Subjects may be receiving systemic chemotherapy or other systemic agents prior to enrollment, but these agents must be stopped during SBRT treatments.",{''}
2159,111,≥18 years of age,{''}
2160,114,Children (ages 12-17) with chronic nausea,{''}
2161,117,Participants must have a life expectancy of \>4 months in the opinion of the Investigator.,{''}
2162,118,"Participants must have RAI-refractory disease, as defined by",{'RA ##I - re ##fra ##ctor ##y disease'}
2163,122,Female participant must not donate ova starting at first dose of IP and throughout the study period and for 28 days after IP administration.,{''}
2164,125,Has a serum PSA concentration at the Screening visit of \> 0.2 ng/mL,{''}
2165,130,HbA1c ≤ 10 %,{''}
2166,132,willing to avoid intake of foods extremely rich in anthocyanins and fermented dairy products containing viable Bifidobacteria or Lactobacilli,{''}
